champion_model,population,target_alert_rate,locked_validation_score_threshold,transactions,alerts,actual_alert_rate,alerts_per_monitoring_period_proxy,capacity_per_period_proxy,capacity_status,fraud_captured,fraud_recall,fraud_amount_captured,fraud_amount_recall,false_positives,precision,false_positive_rate,realised_prevented_loss_proxy,prospective_expected_prevented_loss_proxy,investigation_cost,customer_friction_cost,realised_net_benefit,net_benefit_per_alert,risk_appetite_status,recommended_threshold_flag,selection_note,data_layer,data_status,source_type,claim_boundary
logistic_class_weight,validation,0.0005,0.8590055957671353,60000,30,0.0005,5.0,250,PASS,30,0.5084745762711864,5386.91,0.440305235445041,0,1.0,0.0,3770.8369999999995,3532.696071672842,150.0,0.0,3620.8369999999995,120.69456666666665,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,test,0.0005,0.8590055957671353,54807,40,0.0007298337803565238,6.666666666666667,250,PASS,39,0.5342465753424658,2726.22,0.3528694540154753,1,0.975,1.8270179413161837e-05,1908.3539999999998,18733.66600298803,200.0,2.0,1706.3539999999998,42.658849999999994,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,validation,0.001,0.2705492194353715,60000,60,0.001,10.0,250,PASS,41,0.6949152542372882,7716.180000000001,0.6306907766486385,19,0.6833333333333333,0.00031697836205602176,5401.326000000001,12646.26622707603,300.0,38.0,5063.326000000001,84.38876666666668,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,test,0.001,0.2705492194353715,54807,57,0.0010400131370080464,9.5,250,PASS,51,0.6986301369863014,4722.4,0.6112458677739436,6,0.8947368421052632,0.00010962107647897102,3305.6799999999994,19890.69960808243,285.0,12.0,3008.6799999999994,52.783859649122796,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,validation,0.002,0.01559520373520977,60000,120,0.002,20.0,250,PASS,46,0.7796610169491526,7760.400000000001,0.6343051488047315,74,0.38333333333333336,0.001234547304849769,5432.28,15455.520046185724,600.0,148.0,4684.28,39.035666666666664,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,test,0.002,0.01559520373520977,54807,107,0.0019523053624537013,17.833333333333332,250,PASS,58,0.7945205479452054,5328.070000000001,0.6896410237824657,49,0.5420560747663551,0.0008952387912449301,3729.6490000000003,21311.904869034173,535.0,98.0,3096.6490000000003,28.940644859813087,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,validation,0.005,0.00402902456160726,60000,300,0.005,50.0,250,PASS,48,0.8135593220338984,7764.380000000001,0.6346304586460082,252,0.16,0.004204134065164078,5435.066000000001,15719.179165527303,1500.0,504.0,3431.0660000000007,11.43688666666667,AMBER_AMOUNT_CAPTURE_EXCEPTION,1,Primary recommendation locked on validation Base economics,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,test,0.005,0.00402902456160726,54807,218,0.003977594102943054,36.333333333333336,250,PASS,62,0.8493150684931506,5358.58,0.6935900987074578,156,0.28440366972477066,0.0028501479884532467,3751.006,21430.085967738712,1090.0,312.0,2349.006,10.775256880733945,AMBER_AMOUNT_CAPTURE_EXCEPTION,1,Primary recommendation locked on validation Base economics,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,validation,0.01,0.002106331286258822,60000,600,0.01,100.0,250,PASS,51,0.864406779661017,8990.78,0.7348716619981708,549,0.085,0.009159006356250313,6293.546,15850.3735998903,3000.0,1098.0,2195.5460000000003,3.659243333333334,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,test,0.01,0.002106331286258822,54807,421,0.007681500538252413,70.16666666666667,250,PASS,62,0.8493150684931506,5358.58,0.6935900987074578,359,0.14726840855106887,0.006558994409325099,3751.006,21483.91082227701,2105.0,718.0,928.0059999999999,2.2042897862232778,AMBER_AMOUNT_CAPTURE_EXCEPTION,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,validation,0.02,0.0012930399869304134,60000,1200,0.02,200.0,250,PASS,51,0.864406779661017,8990.78,0.7348716619981708,1149,0.0425,0.019168849368545737,6293.546,15952.224017387864,6000.0,2298.0,-2004.4539999999997,-1.670378333333333,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,test,0.02,0.0012930399869304134,54807,845,0.015417738610031565,140.83333333333334,250,PASS,64,0.8767123287671232,5383.56,0.6968233957125809,781,0.0757396449704142,0.014269010121679394,3768.492,21535.817344346353,4225.0,1562.0,-2018.5079999999998,-2.388766863905325,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,validation,0.05,0.00071158124855894,60000,3000,0.05,500.0,250,BREACH,53,0.8983050847457628,9987.749999999998,0.8163601425151353,2947,0.017666666666666667,0.04916501226205769,6991.424999999998,16105.055283988104,15000.0,5894.0,-13902.575,-4.634191666666667,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
logistic_class_weight,test,0.05,0.00071158124855894,54807,2177,0.03972120349590381,362.8333333333333,250,BREACH,65,0.8904109589041096,5384.5599999999995,0.6969528311411286,2112,0.029857602204869087,0.0385866189205978,3769.1919999999996,21628.995475910935,10885.0,4224.0,-11339.808,-5.2089150206706485,REVIEW,0,Pre-specified sensitivity candidate,Observed,Derived,Validation-locked observed champion score and frozen Base costs,Realised backtest economics and prospective calibrated-probability proxy are reported separately
