component_set,transactions,alerts,alert_rate,fraud_captured,fraud_recall,fraud_amount_captured,fraud_amount_recall,false_positives,precision,prevented_loss_proxy,investigation_cost,customer_friction_cost,net_benefit_proxy,unique_fraud_contribution,model_threshold_locked_on_validation,anomaly_threshold_locked_on_validation,data_layer,data_status,source_type,claim_boundary
Model only,41632,473,0.011361452728670254,62,0.13135593220338984,191.66,0.002263554191076995,411,0.13107822410147993,134.16199999999998,2365.0,822.0,-3052.838,46,0.1200564421372306,0.9950960772212802,Synthetic,Derived,Synthetic test population; validation-derived component thresholds,Incremental controls-testing evidence only
Rules only,41632,1466,0.035213297463489626,35,0.07415254237288135,7559.9,0.08928437508673158,1431,0.023874488403819918,5291.929999999999,7330.0,2862.0,-4900.070000000001,19,0.1200564421372306,0.9950960772212802,Synthetic,Derived,Synthetic test population; validation-derived component thresholds,Incremental controls-testing evidence only
Anomaly only,41632,227,0.005452536510376633,8,0.01694915254237288,11605.550000000001,0.13706454837865814,219,0.03524229074889868,8123.885,1135.0,438.0,6550.885,4,0.1200564421372306,0.9950960772212802,Synthetic,Derived,Synthetic test population; validation-derived component thresholds,Incremental controls-testing evidence only
Model + rules,41632,1792,0.04304381245196003,83,0.17584745762711865,7717.829999999999,0.0911495692503379,1709,0.04631696428571429,5402.480999999999,8960.0,3418.0,-6975.519000000001,0,0.1200564421372306,0.9950960772212802,Synthetic,Derived,Synthetic test population; validation-derived component thresholds,Incremental controls-testing evidence only
Model + rules + anomaly,41632,1930,0.046358570330514985,87,0.1843220338983051,17188.189999999995,0.20299697125914476,1843,0.04507772020725389,12031.732999999997,9650.0,3686.0,-1304.2670000000035,0,0.1200564421372306,0.9950960772212802,Synthetic,Derived,Synthetic test population; validation-derived component thresholds,Incremental controls-testing evidence only
Final hybrid actionable,41632,1016,0.024404304381245197,75,0.15889830508474576,14312.180000000002,0.1690305490057829,941,0.07381889763779527,10018.526000000002,5080.0,1882.0,3056.5260000000017,0,0.1200564421372306,0.9950960772212802,Synthetic,Derived,Synthetic test population; validation-derived component thresholds,Incremental controls-testing evidence only
